time,UAV_0_trust,UAV_1_trust,UAV_2_trust,UAV_3_trust,UAV_4_trust,UAV_5_trust,UAV_6_trust,UAV_7_trust,UAV_8_trust,UAV_9_trust,UAV_10_trust,UAV_11_trust,UAV_12_trust,UAV_13_trust,UAV_14_trust,UAV_15_trust,UAV_16_trust,UAV_17_trust,UAV_18_trust,UAV_19_trust
0,0.541852831874528,0.5311867014612396,0.534809248679845,0.5234674173030633,0.5396903997817424,0.5214974042928762,0.5072624904637983,0.5343142170182492,0.5279527699368871,0.5298092383970026,0.5300066199766038,0.5195049834154366,0.5380313174019331,0.5279881237974167,0.5294587296398449,0.5303067153265433,0.5311744181630529,0.5377661371983926,0.5326998577968998,0.5422438874033702
1,0.6455060673959656,0.6045001168408922,0.6515316422700417,0.6699752564506309,0.572448338251824,0.5345599724833004,0.4800825241721338,0.6288411566739558,0.22048652254876755,0.501178453866808,0.5302242691436769,0.520170848639995,0.5301541905385251,0.5542340175397252,0.5749130591830747,0.5925784188874152,0.665581622201933,0.5777613823136836,0.5774691728977499,0.5487508961125895
2,0.6332359474282381,0.6088028036537481,0.6171452109268603,0.6688492792605374,0.6225617893322226,0.5268097078611265,0.5642790917748063,0.5679226681101467,0.22835678320242958,0.5194811130179716,0.5308756004778148,0.5209950461403607,0.5391502660976573,0.5118812850604222,0.5744540173733834,0.5788113918297668,0.6157427317099531,0.5446735894539352,0.5664561785441622,0.5833954259092263
3,0.6235562140583666,0.6298548052920372,0.6160047820895304,0.599453671289851,0.6131247222373432,0.5282970060124736,0.5309073312590198,0.5979262290858166,0.22835678320242958,0.5154911734555849,0.530412195969105,0.5210014602741746,0.5311457327171913,0.5655553015022144,0.5737635799574899,0.5809453269425618,0.5568609568696752,0.568126612626127,0.6418171209790804,0.5901397597103172
4,0.628300011190024,0.5619359653856221,0.6073554348858252,0.5990486124954248,0.6180456629743982,0.5365017508425667,0.560371100762993,0.5678780862265644,0.22835678320242958,0.5339073739539184,0.5295880770992261,0.5208539578170782,0.5498203069386254,0.5650791945707621,0.5727496429346843,0.6350959250532464,0.5611614304773831,0.5454775068469286,0.5653564787264607,0.5732577891973571
5,0.6088386128074201,0.5872584451959248,0.571745928873436,0.5590860257630291,0.6015551803830768,0.5159894467512727,0.52389374712945,0.5689797596378989,0.22835678320242958,0.5325302780438055,0.5294950996278699,0.5219987454238106,0.5378698974161065,0.5396665941952766,0.5705740554827563,0.5710372418461921,0.5593371966963947,0.5457762009075291,0.5650987124399676,0.5723169420076812
6,0.5849116907271912,0.6373008618114088,0.6013032953454679,0.5566166166379298,0.6061438625517324,0.5169169480334289,0.5252674577416392,0.6034561043805342,0.22502705754126484,0.5676691011163264,0.5288691118604001,0.522888302108869,0.5254220918479133,0.5973274243612245,0.5686917429511178,0.5654457639822621,0.6215847048300516,0.5550082110188719,0.564654877710943,0.5666033510721031
7,0.6003694789031327,0.5770935582787319,0.6004956246831381,0.6074501146265172,0.5952137724166258,0.5158477976470789,0.5269943428828836,0.5682721576044177,0.22502705754126484,0.5347957061564343,0.5276357670504883,0.5226731596993504,0.5236545008261949,0.5532387161087675,0.5713663245915968,0.5669263396969805,0.5381531782197176,0.5576386259033022,0.584171524762798,0.5565038855519051
8,0.614992949659068,0.5037755795398017,0.6131232659107424,0.550991902284438,0.5858306931404109,0.5174204530312898,0.5244193618379708,0.6115768647772069,0.22502705754126484,0.5383771955991277,0.5261718307381261,0.5265514442158601,0.2353922099853202,0.5996802426704113,0.5731429667995174,0.58710856107085,0.5377030049707541,0.5502385095213785,0.6241208163930569,0.5550234910634391
9,0.6041390814327121,0.5037343446618425,0.6044334922672445,0.5584532396346534,0.5911155240052001,0.5219228582195015,0.5264780435640599,0.6109493713435645,0.22502705754126484,0.5398671908711946,0.5265254300746207,0.5294169120788097,0.23458066609561584,0.5612681513200339,0.5750869343916152,0.6016840664938219,0.5069990464375673,0.5336654618387735,0.5908139258189019,0.5516589062547193
